111823	4.036	3.966	3.702	4.390	4.169	4.329		1.773	4.523	1.146	1.361	1.099		0.076	0.839	0.023	0.045	0.017
125274	3.495	3.695	3.359	4.332	3.840	3.505		1.776	4.524	1.147	1.365	1.099		0.177	0.657	0.043	0.093	0.030
156849	4.641	4.521	4.272	4.675	4.745	4.820		1.776	4.668	1.146	1.362	1.099		0.003	0.992	0.002	0.002	0.001
193113	2.989	3.210	2.622	4.493	3.342	3.113		1.780	4.553	1.148	1.366	1.099		0.290	0.479	0.057	0.134	0.040
225097	3.915	3.420	4.008	4.047	4.320	4.068		1.770	4.513	1.146	1.362	1.099		0.095	0.802	0.028	0.056	0.020
2514358	3.336	3.376	3.354	4.425	3.646	3.523		1.775	4.533	1.147	1.365	1.099		0.211	0.601	0.048	0.106	0.034
2514379	3.491	3.690	3.355	4.328	3.841	3.499		1.776	4.525	1.147	1.365	1.099		0.178	0.655	0.043	0.093	0.031
2514512	2.989	3.208	2.621	4.496	3.338	3.113		1.780	4.553	1.148	1.366	1.099		0.290	0.479	0.057	0.134	0.040
2514594	3.336	3.376	3.354	4.425	3.646	3.523		1.775	4.533	1.147	1.365	1.099		0.211	0.601	0.048	0.106	0.034
2514615	3.491	3.690	3.355	4.328	3.841	3.499		1.776	4.525	1.147	1.365	1.099		0.178	0.655	0.043	0.093	0.031
2515496	3.663	3.547	3.810	3.869	4.043	3.806		1.771	4.474	1.146	1.364	1.099		0.137	0.726	0.036	0.075	0.026
2515501	3.800	3.538	3.601	4.647	4.090	4.034		1.771	4.490	1.147	1.363	1.099		0.112	0.769	0.032	0.064	0.023
2515711	3.688	3.536	3.789	3.838	4.065	3.827		1.771	4.473	1.146	1.364	1.099		0.132	0.735	0.035	0.073	0.025
2515714	3.802	3.535	3.601	4.647	4.095	4.038		1.771	4.490	1.147	1.363	1.099		0.112	0.769	0.032	0.064	0.023
2515866	4.221	3.922	4.336	4.156	4.424	4.214		1.774	4.524	1.146	1.362	1.099		0.045	0.900	0.015	0.028	0.011
2520289	3.349	3.234	3.525	4.486	3.541	3.119		1.778	4.494	1.146	1.361	1.099		0.203	0.614	0.047	0.103	0.033
292867	3.632	3.688	3.482	4.184	3.729	3.661		1.774	4.548	1.146	1.361	1.099		0.153	0.698	0.039	0.082	0.028
296916	4.515	4.398	4.559	4.816	4.727	4.344		1.777	4.605	1.147	1.365	1.099		0.012	0.971	0.005	0.008	0.004
583034	3.892	3.801	4.401	4.458	4.422	3.871		1.775	4.533	1.145	1.361	1.099		0.102	0.788	0.030	0.059	0.021
80562	3.686	3.561	3.825	3.891	4.038	3.828		1.771	4.477	1.146	1.364	1.099		0.133	0.733	0.035	0.073	0.025
93466	3.329	3.367	3.344	4.419	3.640	3.516		1.775	4.533	1.147	1.365	1.099		0.212	0.599	0.048	0.107	0.034
